EmployerName,ReportStatus,NumberOfEmployees,GenderPayGap_HourlyPay_Mean_Percent,GenderPayGap_HourlyPay_Median_Percent,WomenInEachPayQuarter_Lower_Percent,WomenInEachPayQuarter_LowerMiddle_Percent,WomenInEachPayQuarter_UpperMiddle_Percent,WomenInEachPayQuarter_Upper_Percent,WhoReceivesBonusPay_Women_Percent,WhoReceivesBonusPay_Men_Percent,GenderPayGap_BonusPay_Mean_Percent,GenderPayGap_BonusPay_Median_Percent,Year,EmployerName_norm,Sector
ARM LIMITED,Submitted,1000 to 4999,16.8,16.9,30.0,19.0,15.0,12.0,67.0,77.0,31.2,27.5,2018-19,ARM LIMITED,Tech
ASTRAZENECA UK LIMITED,Submitted,"5000 to 19,999",13.5,13.3,51.4,52.4,46.2,38.0,86.8,88.7,30.9,25.5,2018-19,ASTRAZENECA UK LIMITED,Healthcare
Barts Health Nhs Trust,Submitted,"5000 to 19,999",19.6,11.0,73.8,79.2,80.2,58.2,0.8,3.5,36.7,42.4,2018-19,BARTS HEALTH NHS TRUST,Healthcare
BRITISH BROADCASTING CORPORATION,Submitted,"5000 to 19,999",8.4,7.6,55.1,46.6,41.3,37.6,10.8,10.4,2.5,0.0,2018-19,BRITISH BROADCASTING CORPORATION,Tech
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Submitted,"20,000 or more",-2.2,-4.2,22.7,14.9,22.2,22.2,70.7,68.2,-4.8,-30.7,2018-19,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Tech
BUPA INSURANCE SERVICES LIMITED,Submitted,1000 to 4999,17.5,6.0,61.5,64.0,62.7,52.2,91.0,90.5,52.0,9.0,2018-19,BUPA INSURANCE SERVICES LIMITED,Healthcare
GLAXOSMITHKLINE SERVICES UNLIMITED,Submitted,"5000 to 19,999",2.7,1.3,47.5,38.9,42.2,41.7,100.0,100.0,7.2,-5.6,2018-19,GLAXOSMITHKLINE SERVICES UNLIMITED,Healthcare
GOOGLE UK LIMITED,Submitted,1000 to 4999,19.0,20.0,51.0,38.0,24.0,21.0,97.0,97.0,48.0,30.0,2018-19,GOOGLE UK LIMITED,Tech
Guy's & St Thomas' NHS Foundation Trust,Submitted,"5000 to 19,999",17.4,9.8,71.0,79.9,79.0,61.4,1.1,5.6,23.9,35.5,2018-19,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,Healthcare
IBM UNITED KINGDOM LIMITED,Submitted,"5000 to 19,999",14.1,11.7,30.4,28.5,24.9,18.8,82.7,83.0,41.0,27.0,2018-19,IBM UNITED KINGDOM LIMITED,Tech
Manchester University NHS Foundation Trust,Submitted,"20,000 or more",25.0,12.8,78.0,86.0,86.0,69.0,0.8,6.2,28.5,33.3,2018-19,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Healthcare
MICROSOFT LIMITED,Submitted,1000 to 4999,6.3,7.9,36.2,25.0,22.5,22.0,99.5,99.5,6.6,13.0,2018-19,MICROSOFT LIMITED,Tech
MONZO BANK LIMITED,Submitted,250 to 499,18.0,14.0,49.0,33.0,38.0,20.0,23.0,24.0,16.0,-12.0,2018-19,MONZO BANK LIMITED,Tech
SPIRE HEALTHCARE LIMITED,Submitted,"5000 to 19,999",21.3,10.3,81.0,83.0,85.0,74.0,2.3,2.2,64.8,3.3,2018-19,SPIRE HEALTHCARE LIMITED,Healthcare
ARM LIMITED,Submitted,1000 to 4999,15.0,15.7,30.0,20.0,16.0,13.0,72.0,82.0,26.7,29.0,2019-20,ARM LIMITED,Tech
ASTRAZENECA UK LIMITED,Submitted,"5000 to 19,999",12.2,13.9,49.8,54.3,44.3,39.2,85.3,86.9,33.2,25.0,2019-20,ASTRAZENECA UK LIMITED,Healthcare
Barts Health Nhs Trust,Submitted,"5000 to 19,999",19.9,13.0,71.6,78.0,78.0,57.1,0.7,3.3,32.1,33.3,2019-20,BARTS HEALTH NHS TRUST,Healthcare
BRITISH BROADCASTING CORPORATION,Submitted,"5000 to 19,999",6.8,6.7,54.6,46.4,41.2,39.5,9.1,8.0,23.1,0.0,2019-20,BRITISH BROADCASTING CORPORATION,Tech
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Submitted,"20,000 or more",11.5,12.1,39.1,39.4,24.0,24.7,69.4,73.4,27.1,27.0,2019-20,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Tech
BUPA INSURANCE SERVICES LIMITED,Submitted,1000 to 4999,15.6,3.8,59.8,62.2,61.5,53.4,89.9,89.4,49.4,32.4,2019-20,BUPA INSURANCE SERVICES LIMITED,Healthcare
GLAXOSMITHKLINE SERVICES UNLIMITED,Submitted,"5000 to 19,999",3.2,0.9,48.8,37.5,42.8,42.1,100.0,100.0,4.1,-6.5,2019-20,GLAXOSMITHKLINE SERVICES UNLIMITED,Healthcare
GOOGLE UK LIMITED,Submitted,"5000 to 19,999",18.0,19.0,50.0,40.0,26.0,21.0,97.0,97.0,52.0,35.0,2019-20,GOOGLE UK LIMITED,Tech
Guy's & St Thomas' NHS Foundation Trust,Submitted,"5000 to 19,999",18.8,13.2,72.0,79.6,77.8,59.8,1.1,5.7,33.5,33.3,2019-20,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,Healthcare
IBM UNITED KINGDOM LIMITED,Submitted,"5000 to 19,999",15.4,14.7,32.5,30.1,23.6,17.8,78.7,77.5,42.4,31.9,2019-20,IBM UNITED KINGDOM LIMITED,Tech
Manchester University NHS Foundation Trust,Submitted,"20,000 or more",28.0,14.0,80.0,87.0,85.0,68.0,0.0,5.0,30.0,33.0,2019-20,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Healthcare
MICROSOFT LIMITED,Submitted,1000 to 4999,8.3,10.2,41.9,29.0,23.2,24.4,99.5,90.3,12.8,29.1,2019-20,MICROSOFT LIMITED,Tech
MONZO BANK LIMITED,Submitted,500 to 999,19.3,20.4,51.1,46.2,47.4,26.1,17.0,13.8,-18.9,0.0,2019-20,MONZO BANK LIMITED,Tech
SPIRE HEALTHCARE LIMITED,Submitted,"5000 to 19,999",16.9,9.0,83.0,83.0,85.0,75.0,3.2,3.5,48.2,25.0,2019-20,SPIRE HEALTHCARE LIMITED,Healthcare
ARM LIMITED,Submitted,1000 to 4999,23.8,22.5,35.2,23.0,17.9,9.7,70.9,78.7,26.0,34.6,2020-21,ARM LIMITED,Tech
ASTRAZENECA UK LIMITED,Submitted,"5000 to 19,999",11.2,12.3,50.4,52.6,48.0,39.3,84.8,86.9,33.9,24.0,2020-21,ASTRAZENECA UK LIMITED,Healthcare
Barts Health Nhs Trust,Submitted,"20,000 or more",17.5,12.7,70.7,78.9,77.8,58.0,0.7,3.4,30.4,20.0,2020-21,BARTS HEALTH NHS TRUST,Healthcare
BRITISH BROADCASTING CORPORATION,Submitted,"5000 to 19,999",6.3,6.2,55.8,46.3,41.7,40.9,12.2,10.2,37.6,0.0,2020-21,BRITISH BROADCASTING CORPORATION,Tech
BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Submitted,"20,000 or more",11.5,11.7,39.5,38.3,24.8,25.0,75.2,76.1,25.6,27.3,2020-21,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,Tech
BUPA INSURANCE SERVICES LIMITED,Submitted,1000 to 4999,19.6,7.4,59.3,64.8,60.5,50.9,93.0,93.2,52.1,17.8,2020-21,BUPA INSURANCE SERVICES LIMITED,Healthcare
GLAXOSMITHKLINE SERVICES UNLIMITED,Submitted,"5000 to 19,999",1.8,-0.7,49.1,38.4,44.2,44.8,100.0,100.0,4.0,-9.6,2020-21,GLAXOSMITHKLINE SERVICES UNLIMITED,Healthcare
GOOGLE UK LIMITED,Submitted,"5000 to 19,999",17.0,18.0,51.0,38.0,28.0,21.0,96.0,97.0,51.0,39.0,2020-21,GOOGLE UK LIMITED,Tech
Guy's & St Thomas' NHS Foundation Trust,Submitted,Not Provided,15.6,10.1,29.7,21.0,20.4,61.4,1.2,6.0,32.8,33.3,2020-21,GUY'S & ST THOMAS' NHS FOUNDATION TRUST,Healthcare
IBM UNITED KINGDOM LIMITED,Submitted,"5000 to 19,999",14.0,13.5,32.7,29.1,23.6,19.5,22.7,31.3,8.0,44.6,2020-21,IBM UNITED KINGDOM LIMITED,Tech
Manchester University NHS Foundation Trust,Submitted,"20,000 or more",26.0,14.0,78.0,87.0,86.0,68.0,1.0,5.0,25.0,33.0,2020-21,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Healthcare
MICROSOFT LIMITED,Submitted,1000 to 4999,10.4,10.3,45.1,30.4,24.6,25.0,92.0,91.8,16.5,37.5,2020-21,MICROSOFT LIMITED,Tech
MONZO BANK LIMITED,Submitted,1000 to 4999,15.7,14.3,51.8,43.2,45.6,32.8,15.3,14.6,6.2,0.0,2020-21,MONZO BANK LIMITED,Tech
SPIRE HEALTHCARE LIMITED,Submitted,"5000 to 19,999",16.4,6.6,81.9,80.9,84.8,75.1,4.4,6.5,60.7,45.3,2020-21,SPIRE HEALTHCARE LIMITED,Healthcare
ARM LIMITED,Submitted,1000 to 4999,22.6,23.4,33.0,23.0,18.0,10.0,77.0,79.0,26.3,37.3,2021-22,ARM LIMITED,Tech
ASTRAZENECA UK LIMITED,Submitted,"5000 to 19,999",10.5,10.1,49.6,51.7,47.0,40.2,82.0,85.4,44.0,21.5,2021-22,ASTRAZENECA UK LIMITED,Healthcare
Barts Health Nhs Trust,Submitted,"5000 to 19,999",19.6,12.6,71.4,78.5,77.5,57.8,2.6,8.0,35.4,0.0,2021-22,BARTS HEALTH NHS TRUST,Healthcare
BRITISH BROADCASTING CORPORATION,Submitted,"20,000 or more",5.0,5.2,55.0,45.2,42.5,41.9,48.0,52.0,9.7,0.0,2021-22,BRITISH BROADCASTING CORPORATION,Tech
